name;location;category;subCategory;unit;type;ubp06;ipcc2007;metaData
electricity, high voltage, at grid;PT;electricity;supply mix;kWh;Technosphere;510,97000 ;0,59000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;DK;electricity;supply mix;kWh;Technosphere;346,79000 ;0,56000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;FI;electricity;supply mix;kWh;Technosphere;452,48000 ;0,44000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;GB;electricity;supply mix;kWh;Technosphere;483,45000 ;0,59000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;IE;electricity;supply mix;kWh;Technosphere;478,72000 ;0,77000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;SE;electricity;supply mix;kWh;Technosphere;360,53000 ;0,08000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;NO;electricity;supply mix;kWh;Technosphere;58,21800 ;0,03000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;CZ;electricity;supply mix;kWh;Technosphere;603,21000 ;0,80000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;HU;electricity;supply mix;kWh;Technosphere;581,94000 ;0,62000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;PL;electricity;supply mix;kWh;Technosphere;751,83000 ;1,11000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;SK;electricity;supply mix;kWh;Technosphere;564,42000 ;0,45000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;SI;electricity;supply mix;kWh;Technosphere;513,49000 ;0,43000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;HR;electricity;supply mix;kWh;Technosphere;480,60000 ;0,47000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;BA;electricity;supply mix;kWh;Technosphere;800,42000 ;0,67000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, at grid;MK;electricity;supply mix;kWh;Technosphere;1191,80000 ;0,96000 ;Included are the electricity production in Austria and from imports, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, high voltage, SBB, at grid;CH;electricity;supply mix;kWh;Technosphere;193,69000 ;0,02000 ;Included are the electricity production, the transmission network and direct emissions to air (ozone and N2O). Electricity losses are accounted for.
electricity, low voltage, at grid;AT;electricity;supply mix;kWh;Technosphere;338,66000 ;0,43000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;BE;electricity;supply mix;kWh;Technosphere;619,39000 ;0,36000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;CH;electricity;supply mix;kWh;Technosphere;457,93000 ;0,12000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;ES;electricity;supply mix;kWh;Technosphere;710,24000 ;0,58000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;CS;electricity;supply mix;kWh;Technosphere;1299,20000 ;1,14000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;FR;electricity;supply mix;kWh;Technosphere;741,75000 ;0,10000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;GR;electricity;supply mix;kWh;Technosphere;887,86000 ;1,13000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;IT;electricity;supply mix;kWh;Technosphere;498,19000 ;0,63000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;LU;electricity;supply mix;kWh;Technosphere;501,92000 ;0,63000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;NL;electricity;supply mix;kWh;Technosphere;462,83000 ;0,71000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;PT;electricity;supply mix;kWh;Technosphere;630,34000 ;0,68000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;DE;electricity;supply mix;kWh;Technosphere;537,37000 ;0,71000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;DK;electricity;supply mix;kWh;Technosphere;424,01000 ;0,61000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;FI;electricity;supply mix;kWh;Technosphere;549,57000 ;0,49000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;GB;electricity;supply mix;kWh;Technosphere;600,60000 ;0,67000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;IE;electricity;supply mix;kWh;Technosphere;591,00000 ;0,87000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;SE;electricity;supply mix;kWh;Technosphere;454,35000 ;0,09000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;NO;electricity;supply mix;kWh;Technosphere;113,96000 ;0,03000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;CZ;electricity;supply mix;kWh;Technosphere;735,58000 ;0,91000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;HU;electricity;supply mix;kWh;Technosphere;733,09000 ;0,74000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;PL;electricity;supply mix;kWh;Technosphere;847,50000 ;1,18000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;SK;electricity;supply mix;kWh;Technosphere;659,19000 ;0,49000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;SI;electricity;supply mix;kWh;Technosphere;618,76000 ;0,48000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;HR;electricity;supply mix;kWh;Technosphere;643,56000 ;0,58000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;BA;electricity;supply mix;kWh;Technosphere;1148,30000 ;0,92000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, low voltage, at grid;MK;electricity;supply mix;kWh;Technosphere;1616,00000 ;1,27000 ;Included are the electricity production in Austria and from imports, the transmission network as well as direct SF6-emissions to air. Electricity losses during low-voltage transmission and transformation from medium-voltage are accounted for.
electricity, medium voltage, aluminium industry, at grid;GLO;electricity;supply mix;kWh;Technosphere;345,77000 ;0,34000 ;Included are the electricity production, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;AT;electricity;supply mix;kWh;Technosphere;270,70000 ;0,39000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;BE;electricity;supply mix;kWh;Technosphere;540,68000 ;0,33000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;CH;electricity;supply mix;kWh;Technosphere;376,59000 ;0,11000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;ES;electricity;supply mix;kWh;Technosphere;586,24000 ;0,51000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;CS;electricity;supply mix;kWh;Technosphere;1000,60000 ;0,91000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;FR;electricity;supply mix;kWh;Technosphere;636,06000 ;0,09000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;GR;electricity;supply mix;kWh;Technosphere;743,28000 ;1,00000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;IT;electricity;supply mix;kWh;Technosphere;416,27000 ;0,57000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;LU;electricity;supply mix;kWh;Technosphere;416,29000 ;0,57000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;NL;electricity;supply mix;kWh;Technosphere;398,06000 ;0,67000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;PT;electricity;supply mix;kWh;Technosphere;523,24000 ;0,60000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;DE;electricity;supply mix;kWh;Technosphere;454,41000 ;0,65000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;DK;electricity;supply mix;kWh;Technosphere;355,16000 ;0,56000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;FI;electricity;supply mix;kWh;Technosphere;461,63000 ;0,44000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;GB;electricity;supply mix;kWh;Technosphere;496,00000 ;0,60000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;IE;electricity;supply mix;kWh;Technosphere;490,88000 ;0,78000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;SE;electricity;supply mix;kWh;Technosphere;370,29000 ;0,08000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;NO;electricity;supply mix;kWh;Technosphere;64,64700 ;0,03000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;CZ;electricity;supply mix;kWh;Technosphere;616,59000 ;0,81000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;HU;electricity;supply mix;kWh;Technosphere;596,81000 ;0,63000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;PL;electricity;supply mix;kWh;Technosphere;762,05000 ;1,12000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;SK;electricity;supply mix;kWh;Technosphere;574,57000 ;0,46000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;SI;electricity;supply mix;kWh;Technosphere;524,56000 ;0,43000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;HR;electricity;supply mix;kWh;Technosphere;496,21000 ;0,48000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;BA;electricity;supply mix;kWh;Technosphere;832,76000 ;0,70000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
electricity, medium voltage, at grid;MK;electricity;supply mix;kWh;Technosphere;1232,00000 ;0,99000 ;Included are the electricity production in Austria and from imports, the transmission network and direct SF6-emissions to air. Electricity losses during medium-voltage transmission and transformation from high-voltage are accounted for.
anti-reflex-coating, etching, solar glass;DK;glass;construction;m²;Technosphere;2293,00000 ;1,38000 ;Gate to gate inventory for the process including cleaning, etching and clarification and drying. Losses of glass are not included. 
flat glass plant;RER;glass;construction;unit;Technosphere;93932000000,00000 ;;includes the infrastructure (multi-storey buildings and halls, tin initial load and equipment) and the land-use (built and not built areas)
flat glass, coated, at plant;RER;glass;construction;kg;Technosphere;1044,40000 ;1,04000 ;Includes all measured In- and Output materials and energy carriers reported for a German glass coating plant during ist operation (coating process, internal transports, packing and administration).
flat glass, uncoated, at plant;RER;glass;construction;kg;Technosphere;897,74000 ;0,95000 ;includes the whole manufacturing process to produce flat glass (raw material provision, cullet addition, melting process, forming process (on float bath), cooling process (annealing lehr), cutting process and storage), internal processes (transport, etc.) and infrastructure. No administration and packing is included.
glass etching plant;DK;glass;construction;unit;Technosphere;761270000,00000 ;;Infrastructure of a glass etching plant with data for land use and area of buildings. No data for machinery. Annual capacity normalized to 100000 m2/a.
glass fibre, at plant;RER;glass;construction;kg;Technosphere;5697,40000 ;2,57000 ;Gate to gate inventory for the production of glass fibre.
glass tube plant;DE;glass;construction;unit;Technosphere;49218000000,00000 ;;Infrastructure of a tube glass plant with data for land use and area of buildings. No data for machinery. Annual capacity normalized to 100000t/a.
glass tube, borosilicate, at plant;DE;glass;construction;kg;Technosphere;2367,70000 ;2,15000 ;Gate to gate inventory for the production of glass tubes.
solar collector glass tube, with silver mirror, at plant;DE;glass;construction;kg;Technosphere;6367,10000 ;6,15000 ;Gate to gate inventory for the manufacturing of collector tubes from glass tubes including a sputter coating with a selective coating and a mirror layer. Infrastructure considered for the pre-product.
solar glass, low-iron, at regional storage;RER;glass;construction;kg;Technosphere;1061,40000 ;1,04000 ;Gate to gate inventory for the process including transport to RER
tempering, flat glass;RER;glass;construction;kg;Technosphere;180,97000 ;0,22000 ;Gate to gate inventory for the process not including infrastructure and emissions.
glass production site;RER;glass;packaging;unit;Technosphere;295610000000,00000 ;;This module includes the land-use, the material and construction efforts of the machineries (melting furnace, forming machine, cooling furnace), the transport of the furnace to the glass production site and the buildings. Dismantling of the machineries and the buildings are accounted for as well.
glass sorting site;RER;glass;packaging;unit;Technosphere;4117800000,00000 ;;This module includes the land-use, the material and construction efforts of the machineries the buildings. Dismantling of the machineries and the buildings are accounted for as well.
glass, cullets, sorted, at sorting plant;RER;glass;packaging;kg;Technosphere;;;
glass, from public collection, unsorted;RER;glass;packaging;kg;Technosphere;31,94000 ;0,02000 ;This module includes the transportation efforts for the collection as well as the fruther transportation to the next glass production site / glass sorting plant. No further efforts are included into this module.
packaging glass, brown, at plant;CH;glass;packaging;kg;Technosphere;613,98000 ;0,65000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, brown, at plant;DE;glass;packaging;kg;Technosphere;506,36000 ;0,56000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, brown, at plant;RER;glass;packaging;kg;Technosphere;1011,70000 ;0,84000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, brown, at regional storage;CH;glass;packaging;kg;Technosphere;749,89000 ;0,72000 ;This module includes the average composition of the consumed empty container glass in Switzerland and the therefore needed transport amounts.
packaging glass, green, at plant;CH;glass;packaging;kg;Technosphere;477,75000 ;0,50000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, green, at plant;DE;glass;packaging;kg;Technosphere;472,11000 ;0,50000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, green, at plant;RER;glass;packaging;kg;Technosphere;981,30000 ;0,82000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, green, at regional storage;CH;glass;packaging;kg;Technosphere;651,23000 ;0,62000 ;This module includes the average composition of the consumed empty container glass in Switzerland and the therefore needed transport amounts.
packaging glass, white, at plant;CH;glass;packaging;kg;Technosphere;514,57000 ;0,53000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, white, at plant;DE;glass;packaging;kg;Technosphere;514,68000 ;0,58000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, white, at plant;RER;glass;packaging;kg;Technosphere;1003,40000 ;0,84000 ;This module includes the material and energy efforts for: preparation and sorting of cullets, melting, forming of glass containers, cooling down, packaging and palletting until glass containers are ready for transport to customer. Transports for the input materials are included as well as direct emissions to air, waste water and waste.
packaging glass, white, at regional storage;CH;glass;packaging;kg;Technosphere;685,17000 ;0,65000 ;This module includes the average composition of the consumed empty container glass in Switzerland and the therefore needed transport amounts.
hard coal briquettes, at plant;RER;hard coal;fuels;MJ;Technosphere;17,40700 ;0,01000 ;The process considered is brick making using bitumen as binder, at a temperature below 100°C. The module includes energy input, transport of the coal and emissions to air.
hard coal coke, at plant;RER;hard coal;fuels;MJ;Technosphere;25,01800 ;0,02000 ;The reference process has been assumed to be the byproduct coke production, used in almost all US coke plants in 1998. The coke making has been considered as a black box. The energy necessary for the process is assumed to be provided by part of the input coal and by some electricity. The module includes chemicals used for operation and the associated transport requirements. The transport of coal are considered to be negligible, because the plant is assumed to be mine-mouth. The module also includes the total emissions to air and water from the entire plant. Coke oven gas, tar, and benzene are byproducts of coking.
hard coal coke, at plant;GLO;hard coal;fuels;MJ;Technosphere;190,35000 ;0,02000 ;The reference process has been assumed to be the byproduct coke production, used in almost all US coke plants in 1998. The coke making has been considered as a black box. The energy necessary for the process is assumed to be provided by part of the input coal and by some electricity. The module includes chemicals used for operation and the associated transport requirements. The transport of coal are considered to be negligible, because the plant is assumed to be mine-mouth. The module also includes the total emissions to air and water from the entire plant. Coke oven gas, tar, and benzene are byproducts of coking.
hard coal mix, at regional storage;UCTE;hard coal;fuels;kg;Technosphere;313,85000 ;0,28000 ;Country-specific supply of coal by producing regions. The module includes all transport from the storage in producing regions to power plants in the specific country. 
hard coal, at regional storage;WEU;hard coal;fuels;kg;Technosphere;251,17000 ;0,38000 ;This module includes an average transport of the coal to border of producing country and storage.
anthracite, burned in stove 5-15kW;RER;hard coal;heating systems;MJ;Technosphere;71,29600 ;0,11000 ;House heating. The module describes the combustion process and includes coal transport and ash disposal. 
coal stove, 5-15 kW;RER;hard coal;heating systems;unit;Technosphere;1219600,00000 ;;Average stoves installed in the early 1990s. The module includes materials, energy and transport requirements, used for construction of the stove. Also construction of the chimney and the storage is included. Disposal of material is also included.
hard coal briquette, burned in stove 5-15kW;RER;hard coal;heating systems;MJ;Technosphere;126,67000 ;0,11000 ;House heating. The module describes the combustion process and includes coal transport and ash disposal. 
hard coal coke, burned in stove 5-15kW;RER;hard coal;heating systems;MJ;Technosphere;114,45000 ;0,12000 ;House heating. The module describes the combustion process and includes coal transport and ash disposal. 
hard coal, burned in industrial furnace 1-10MW;RER;hard coal;heating systems;MJ;Technosphere;80,78900 ;0,10000 ;Industrial heat production. The module describes the combustion process and includes softened water requirement, coal transport, ash disposal and electricity requirement.
heat, anthracite, at stove 5-15kW;RER;hard coal;heating systems;MJ;Technosphere;101,95000 ;0,15000 ;output of useable heat
heat, at hard coal industrial furnace 1-10MW;RER;hard coal;heating systems;MJ;Technosphere;100,99000 ;0,13000 ;Industrial heating.
heat, hard coal briquette, at stove 5-15kW;RER;hard coal;heating systems;MJ;Technosphere;181,13000 ;0,16000 ;output of useable heat
heat, hard coal coke, at stove 5-15kW;RER;hard coal;heating systems;MJ;Technosphere;163,66000 ;0,18000 ;output of useable heat
industrial furnace, coal, 1-10 MW;RER;hard coal;heating systems;unit;Technosphere;299840000,00000 ;;Average stoker furnace operational in the early 1990s. The module includes materials, energy and transport requirements used for construction of the plant. Disposal of material is also included.
electricity, hard coal, at power plant;AT;hard coal;power plants;kWh;Technosphere;448,60000 ;0,97000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;BE;hard coal;power plants;kWh;Technosphere;743,18000 ;1,06000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;ES;hard coal;power plants;kWh;Technosphere;973,55000 ;1,09000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;FR;hard coal;power plants;kWh;Technosphere;807,20000 ;1,06000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;IT;hard coal;power plants;kWh;Technosphere;735,76000 ;1,02000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;NL;hard coal;power plants;kWh;Technosphere;578,52000 ;1,07000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;PT;hard coal;power plants;kWh;Technosphere;759,29000 ;0,97000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;UCTE;hard coal;power plants;kWh;Technosphere;667,35000 ;1,07000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;DE;hard coal;power plants;kWh;Technosphere;516,31000 ;1,09000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;NORDEL;hard coal;power plants;kWh;Technosphere;462,31000 ;0,96000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;CZ;hard coal;power plants;kWh;Technosphere;638,10000 ;1,29000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;HR;hard coal;power plants;kWh;Technosphere;715,61000 ;1,09000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;PL;hard coal;power plants;kWh;Technosphere;774,69000 ;1,14000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
electricity, hard coal, at power plant;SK;hard coal;power plants;kWh;Technosphere;1002,80000 ;1,01000 ;Electricity output at busbar. The module uses the average net efficiency of Austrian hard coal power plants (40.4%).
hard coal power plant;RER;hard coal;power plants;unit;Technosphere;232300000000,00000 ;;The module includes materials, energy and transport requirements used for construction of the plant. Disposal of material after dismantling is also included.
hard coal, burned in power plant;AT;hard coal;power plants;MJ;Technosphere;50,34800 ;0,11000 ;Energy conversion for electricity production. Use of fuel oil for startup is accounted for. Particle removal is included in this module. DeSOx and DeNOx are described in different modules, they are applied here according to the actual use in the country, SOx and NOx emissions are the reduced ones. It is assumed that 25 % of the plants are river cooled, 75 % use cooling tower (average UCTE). The water treatment is described in separate modules. The disposal of non-recycled ashes is modelled separately.
